512
0.28600782764449084 0.8455155123555098 0.28600782764449084 | 0.0 -1.1619999999999981 0.0
0.283148021717983 0.8483753182820175 0.3478587017732701 | 0.0 -1.1619999999999981 0.0
0.2821785527205593 0.8493447872794413 0.3997919238548981 | 0.0 -1.1619999999999981 0.0
0.28208554642782213 0.8494377935721776 0.44998527026761964 | 0.0 -1.1619999999999981 0.0
0.2820855464278221 0.8494377935721776 0.5000147297323807 | 0.0 -1.1619999999999981 0.0
0.28217855272055925 0.8493447872794413 0.5502080761451019 | 0.0 -1.1619999999999981 0.0
0.283148021717983 0.8483753182820175 0.6021412982267298 | 0.0 -1.1619999999999981 0.0
0.28600782764449095 0.8455155123555098 0.6639921723555096 | 0.0 -1.1619999999999981 0.0
0.3478587017732701 0.8483753182820175 0.283148021717983 | 0.0 -1.1619999999999981 0.0
0.3471171520527905 0.8512030657688346 0.3471171520527905 | 0.0 -1.1619999999999981 0.0
0.3465254389529947 0.8523531297477118 0.39973970978182904 | 0.0 -1.1619999999999981 0.0
0.3464012557391554 0.8525165053078642 0.44997938839212626 | 0.0 -1.1619999999999981 0.0
0.3464012557391554 0.852516505307864 0.5000206116078743 | 0.0 -1.1619999999999981 0.0
0.3465254389529947 0.8523531297477118 0.550260290218171 | 0.0 -1.1619999999999981 0.0
0.3471171520527905 0.8512030657688346 0.6028828479472101 | 0.0 -1.1619999999999981 0.0
0.34785870177327016 0.8483753182820175 0.6668519782820173 | 0.0 -1.1619999999999981 0.0
0.3997919238548981 0.8493447872794413 0.2821785527205593 | 0.0 -1.1619999999999981 0.0
0.39973970978182904 0.8523531297477118 0.3465254389529947 | 0.0 -1.1619999999999981 0.0
0.3996545718979248 0.8536238134556791 0.3996545718979248 | 0.0 -1.1619999999999981 0.0
0.3995688416045475 0.8538336618776519 0.4499792646391219 | 0.0 -1.1619999999999981 0.0
0.39956884160454764 0.8538336618776516 0.5000207353608781 | 0.0 -1.1619999999999981 0.0
