512
0.49999939346774075 0.8986551512011225 0.49999939346774075 | 0.0 -0.49800000000000005 0.0
0.4999991804803985 0.8986345480051131 0.5500299618132907 | 0.0 -0.49800000000000005 0.0
0.4999996604111703 0.8981861359332196 0.600797095252727 | 0.0 -0.49800000000000005 0.0
0.49999995745976855 0.8962431825624948 0.6590567225624947 | 0.0 -0.49800000000000005 0.0
0.5500158384668529 0.8962347542157204 0.2909517057842797 | 0.0 -0.49800000000000005 0.0
0.550012750951585 0.8981749699241847 0.34921624291105163 | 0.0 -0.49800000000000005 0.0
0.5500213468910403 0.8986172580644232 0.3999786531089593 | 0.0 -0.49800000000000005 0.0
0.5500299618132907 0.8986345480051131 0.45000081951960147 | 0.0 -0.49800000000000005 0.0
0.5500299618132907 0.8986345480051131 0.4999991804803985 | 0.0 -0.49800000000000005 0.0
0.5500213468910403 0.8986172580644232 0.5500213468910403 | 0.0 -0.49800000000000005 0.0
0.550012750951585 0.8981749699241847 0.6007837570889485 | 0.0 -0.49800000000000005 0.0
0.550015838466853 0.8962347542157204 0.6590482942157203 | 0.0 -0.49800000000000005 0.0
0.6004402966501916 0.8959602280860173 0.29122623191398317 | 0.0 -0.49800000000000005 0.0
0.6006174751251595 0.8978015670658545 0.34938252487484045 | 0.0 -0.49800000000000005 0.0
0.6007837570889485 0.8981749699241847 0.39998724904841526 | 0.0 -0.49800000000000005 0.0
0.600797095252727 0.8981861359332196 0.45000033958882985 | 0.0 -0.49800000000000005 0.0
0.600797095252727 0.8981861359332196 0.4999996604111703 | 0.0 -0.49800000000000005 0.0
0.6007837570889485 0.8981749699241847 0.550012750951585 | 0.0 -0.49800000000000005 0.0
0.6006174751251595 0.8978015670658545 0.6006174751251595 | 0.0 -0.49800000000000005 0.0
0.6004402966501916 0.8959602280860173 0.6587737680860172 | 0.0 -0.49800000000000005 0.0
0.6571008728093529 0.894287332809353 0.2928991271906473 | 0.0 -0.49800000000000005 0.0
0.6587737680860172 0.8959602280860173 0.34955970334980846 | 0.0 -0.49800000000000005 0.0
0.6590482942157203 0.8962347542157204 0.3999841615331469 | 0.0 -0.49800000000000005 0.0
0.6590567225624947 0.8962431825624948 0.45000004254023146 | 0.0 -0.49800000000000005 0.0
0.6590567225624947 0.8962431825624948 0.49999995745976855 | 0.0 -0.49800000000000005 0.0
0.6590482942157203 0.8962347542157204 0.550015838466853 | 0.0 -0.49800000000000005 0.0
0.6587737680860172 0.8959602280860173 0.6004402966501916 | 0.0 -0.49800000000000005 0.0
0.6571008728093529 0.894287332809353 0.6571008728093529 | 0.0 -0.49800000000000005 0.0
0.29122623191398317 0.8376267566501916 0.29122623191398317 | 0.0 -0.49800000000000005 0.0
0.2893848929341456 0.8378039351251595 0.34938252487484045 | 0.0 -0.49800000000000005 0.0
0.2890114900758156 0.8379702170889485 0.39998724904841526 | 0.0 -0.49800000000000005 0.0
0.28900032406677995 0.8379835552527269 0.45000033958882985 | 0.0 -0.49800000000000005 0.0
0.28900032406677995 0.8379835552527269 0.4999996604111703 | 0.0 -0.49800000000000005 0.0
0.2890114900758156 0.8379702170889485 0.550012750951585 | 0.0 -0.49800000000000005 0.0
0.2893848929341457 0.8378039351251595 0.6006174751251595 | 0.0 -0.49800000000000005 0.0
0.29122623191398317 0.8376267566501916 0.6587737680860172 | 0.0 -0.49800000000000005 0.0
0.34938252487484045 0.8378039351251595 0.2893848929341456 | 0.0 -0.49800000000000005 0.0
0.3490973045768485 0.8380891554231514 0.3490973045768485 | 0.0 -0.49800000000000005 0.0
0.3488768481396463 0.8383096118603536 0.39999993428785896 | 0.0 -0.49800000000000005 0.0
0.3488572608021774 0.8383291991978228 0.45000100221407136 | 0.0 -0.49800000000000005 0.0
0.3488572608021774 0.8383291991978228 0.49999899778592855 | 0.0 -0.49800000000000005 0.0
0.3488768481396463 0.8383096118603535 0.550000065712141 | 0.0 -0.49800000000000005 0.0
0.3490973045768485 0.8380891554231515 0.6009026954231514 | 0.0 -0.49800000000000005 0.0
0.34938252487484045 0.8378039351251595 0.6606151070658544 | 0.0 -0.49800000000000005 0.0
0.39998724904841526 0.8379702170889485 0.2890114900758156 | 0.0 -0.49800000000000005 0.0
0.39999993428785896 0.8383096118603536 0.3488768481396463 | 0.0 -0.49800000000000005 0.0
0.3999907044465845 0.8385657159928286 0.39999070444658447 | 0.0 -0.49800000000000005 0.0
0.39997793037835355 0.8385912756518977 0.4500021751202383 | 0.0 -0.49800000000000005 0.0
0.3999779303783535 0.8385912756518977 0.49999782487976163 | 0.0 -0.49800000000000005 0.0
0.3999907044465845 0.8385657159928286 0.5500092955534157 | 0.0 -0.49800000000000005 0.0
0.39999993428785896 0.8383096118603536 0.6011231518603535 | 0.0 -0.49800000000000005 0.0
0.39998724904841526 0.8379702170889485 0.6609885099241847 | 0.0 -0.49800000000000005 0.0
0.45000033958882985 0.8379835552527269 0.28900032406677995 | 0.0 -0.49800000000000005 0.0
0.45000100221407136 0.8383291991978228 0.3488572608021774 | 0.0 -0.49800000000000005 0.0
0.4500021751202383 0.8385912756518977 0.39997793037835355 | 0.0 -0.49800000000000005 0.0
0.4500019671366072 0.8386197618934776 0.4500019671366072 | 0.0 -0.49800000000000005 0.0
0.4500019671366072 0.8386197618934776 0.4999980328633928 | 0.0 -0.49800000000000005 0.0
0.4500021751202383 0.8385912756518977 0.550022069621646 | 0.0 -0.49800000000000005 0.0
0.4500010022140713 0.8383291991978228 0.6011427391978228 | 0.0 -0.49800000000000005 0.0
0.45000033958882985 0.8379835552527269 0.6609996759332196 | 0.0 -0.49800000000000005 0.0
0.4999996604111703 0.8379835552527269 0.28900032406677995 | 0.0 -0.49800000000000005 0.0
0.49999899778592855 0.8383291991978228 0.3488572608021774 | 0.0 -0.49800000000000005 0.0
0.49999782487976163 0.8385912756518977 0.3999779303783535 | 0.0 -0.49800000000000005 0.0
0.4999980328633928 0.8386197618934776 0.4500019671366072 | 0.0 -0.49800000000000005 0.0
0.4999980328633928 0.8386197618934778 0.4999980328633928 | 0.0 -0.49800000000000005 0.0
0.49999782487976163 0.8385912756518977 0.550022069621646 | 0.0 -0.49800000000000005 0.0
0.4999989977859286 0.8383291991978228 0.6011427391978228 | 0.0 -0.49800000000000005 0.0
0.4999996604111703 0.8379835552527269 0.6609996759332196 | 0.0 -0.49800000000000005 0.0
0.550012750951585 0.8379702170889485 0.2890114900758156 | 0.0 -0.49800000000000005 0.0
0.550000065712141 0.8383096118603535 0.3488768481396463 | 0.0 -0.49800000000000005 0.0
0.5500092955534157 0.8385657159928286 0.3999907044465845 | 0.0 -0.49800000000000005 0.0
0.550022069621646 0.8385912756518977 0.4500021751202383 | 0.0 -0.49800000000000005 0.0
0.550022069621646 0.8385912756518977 0.49999782487976163 | 0.0 -0.49800000000000005 0.0
0.5500092955534157 0.8385657159928286 0.5500092955534157 | 0.0 -0.49800000000000005 0.0
0.550000065712141 0.8383096118603536 0.6011231518603535 | 0.0 -0.49800000000000005 0.0
0.550012750951585 0.8379702170889485 0.6609885099241847 | 0.0 -0.49800000000000005 0.0
0.6006174751251595 0.8378039351251595 0.2893848929341457 | 0.0 -0.49800000000000005 0.0
0.6009026954231514 0.8380891554231515 0.3490973045768485 | 0.0 -0.49800000000000005 0.0
0.6011231518603535 0.8383096118603536 0.39999993428785896 | 0.0 -0.49800000000000005 0.0
0.6011427391978228 0.8383291991978228 0.4500010022140713 | 0.0 -0.49800000000000005 0.0
0.6011427391978228 0.8383291991978228 0.4999989977859286 | 0.0 -0.49800000000000005 0.0
0.6011231518603535 0.8383096118603536 0.550000065712141 | 0.0 -0.49800000000000005 0.0
0.6009026954231516 0.8380891554231515 0.6009026954231516 | 0.0 -0.49800000000000005 0.0
0.6006174751251595 0.8378039351251595 0.6606151070658544 | 0.0 -0.49800000000000005 0.0
0.6587737680860172 0.8376267566501916 0.29122623191398317 | 0.0 -0.49800000000000005 0.0
