512
0.2909750693276393 0.886429010672361 0.2909750693276393 | 0.0 -0.6639999999999996 0.0
0.2889233560335001 0.8884807239665005 0.3492298873057179 | 0.0 -0.6639999999999996 0.0
0.2884991763778959 0.8889049036221043 0.39995694980298446 | 0.0 -0.6639999999999996 0.0
0.2884776113800071 0.8889264686199929 0.4499988861192756 | 0.0 -0.6639999999999996 0.0
0.2884776113800071 0.8889264686199929 0.5000011138807247 | 0.0 -0.6639999999999996 0.0
0.28849917637789585 0.8889049036221043 0.5500430501970154 | 0.0 -0.6639999999999996 0.0
0.2889233560335001 0.8884807239665005 0.6007701126942823 | 0.0 -0.6639999999999996 0.0
0.29097506932763934 0.886429010672361 0.6590249306723609 | 0.0 -0.6639999999999996 0.0
0.3492298873057179 0.8884807239665005 0.2889233560335001 | 0.0 -0.6639999999999996 0.0
0.34892536883290604 0.8906649853104279 0.34892536883290604 | 0.0 -0.6639999999999996 0.0
0.3486556375211549 0.8912280188024819 0.3999554671419561 | 0.0 -0.6639999999999996 0.0
0.34862346113662557 0.8912610436486136 0.4499991686559713 | 0.0 -0.6639999999999996 0.0
0.34862346113662557 0.8912610436486135 0.500000831344029 | 0.0 -0.6639999999999996 0.0
0.3486556375211549 0.8912280188024819 0.5500445328580439 | 0.0 -0.6639999999999996 0.0
0.34892536883290604 0.8906649853104279 0.6010746311670941 | 0.0 -0.6639999999999996 0.0
0.34922988730571797 0.8884807239665005 0.6610766439665003 | 0.0 -0.6639999999999996 0.0
0.39995694980298446 0.8889049036221043 0.2884991763778959 | 0.0 -0.6639999999999996 0.0
0.3999554671419561 0.8912280188024819 0.3486556375211549 | 0.0 -0.6639999999999996 0.0
0.3999341713464922 0.8918923802502009 0.3999341713464922 | 0.0 -0.6639999999999996 0.0
0.399914262479403 0.8919402033251362 0.4499998733183807 | 0.0 -0.6639999999999996 0.0
0.3999142624794031 0.8919402033251362 0.5000001266816193 | 0.0 -0.6639999999999996 0.0
0.3999341713464922 0.8918923802502009 0.5500658286535075 | 0.0 -0.6639999999999996 0.0
0.3999554671419561 0.8912280188024819 0.601344362478845 | 0.0 -0.6639999999999996 0.0
0.3999569498029844 0.8889049036221043 0.6615008236221042 | 0.0 -0.6639999999999996 0.0
0.4499988861192756 0.8889264686199929 0.2884776113800071 | 0.0 -0.6639999999999996 0.0
0.4499991686559713 0.8912610436486136 0.34862346113662557 | 0.0 -0.6639999999999996 0.0
0.4499998733183807 0.8919402033251362 0.3999142624794031 | 0.0 -0.6639999999999996 0.0
0.4499989299812444 0.8919955328612725 0.4499989299812444 | 0.0 -0.6639999999999996 0.0
0.44999892998124447 0.8919955328612725 0.5000010700187557 | 0.0 -0.6639999999999996 0.0
0.4499998733183807 0.8919402033251362 0.5500857375205974 | 0.0 -0.6639999999999996 0.0
0.4499991686559713 0.8912610436486136 0.6013765388633743 | 0.0 -0.6639999999999996 0.0
0.4499988861192756 0.8889264686199929 0.6615223886199928 | 0.0 -0.6639999999999996 0.0
0.5000011138807247 0.8889264686199929 0.2884776113800071 | 0.0 -0.6639999999999996 0.0
0.5000008313440288 0.8912610436486135 0.34862346113662557 | 0.0 -0.6639999999999996 0.0
0.5000001266816193 0.8919402033251362 0.3999142624794031 | 0.0 -0.6639999999999996 0.0
0.5000010700187557 0.8919955328612725 0.44999892998124447 | 0.0 -0.6639999999999996 0.0
0.5000010700187557 0.8919955328612725 0.5000010700187557 | 0.0 -0.6639999999999996 0.0
0.5000001266816193 0.8919402033251362 0.5500857375205974 | 0.0 -0.6639999999999996 0.0
0.500000831344029 0.8912610436486136 0.6013765388633743 | 0.0 -0.6639999999999996 0.0
0.5000011138807247 0.8889264686199929 0.6615223886199928 | 0.0 -0.6639999999999996 0.0
0.5500430501970154 0.8889049036221043 0.28849917637789585 | 0.0 -0.6639999999999996 0.0
0.5500445328580439 0.8912280188024819 0.3486556375211549 | 0.0 -0.6639999999999996 0.0
0.5500658286535075 0.8918923802502009 0.3999341713464922 | 0.0 -0.6639999999999996 0.0
0.5500857375205974 0.8919402033251362 0.4499998733183807 | 0.0 -0.6639999999999996 0.0
0.5500857375205974 0.8919402033251362 0.5000001266816193 | 0.0 -0.6639999999999996 0.0
0.5500658286535075 0.8918923802502009 0.5500658286535075 | 0.0 -0.6639999999999996 0.0
0.5500445328580439 0.8912280188024819 0.601344362478845 | 0.0 -0.6639999999999996 0.0
0.5500430501970155 0.8889049036221043 0.6615008236221042 | 0.0 -0.6639999999999996 0.0
0.6007701126942823 0.8884807239665005 0.2889233560335001 | 0.0 -0.6639999999999996 0.0
0.6010746311670941 0.8906649853104279 0.34892536883290604 | 0.0 -0.6639999999999996 0.0
0.601344362478845 0.8912280188024819 0.3999554671419561 | 0.0 -0.6639999999999996 0.0
0.6013765388633743 0.8912610436486136 0.4499991686559713 | 0.0 -0.6639999999999996 0.0
0.6013765388633743 0.8912610436486136 0.500000831344029 | 0.0 -0.6639999999999996 0.0
0.601344362478845 0.8912280188024819 0.5500445328580439 | 0.0 -0.6639999999999996 0.0
0.6010746311670941 0.8906649853104279 0.6010746311670941 | 0.0 -0.6639999999999996 0.0
0.6007701126942823 0.8884807239665005 0.6610766439665003 | 0.0 -0.6639999999999996 0.0
0.6590249306723609 0.886429010672361 0.29097506932763934 | 0.0 -0.6639999999999996 0.0
0.6610766439665003 0.8884807239665005 0.34922988730571797 | 0.0 -0.6639999999999996 0.0
0.6615008236221042 0.8889049036221043 0.3999569498029844 | 0.0 -0.6639999999999996 0.0
0.6615223886199928 0.8889264686199929 0.4499988861192756 | 0.0 -0.6639999999999996 0.0
0.6615223886199928 0.8889264686199929 0.5000011138807247 | 0.0 -0.6639999999999996 0.0
0.6615008236221042 0.8889049036221043 0.5500430501970155 | 0.0 -0.6639999999999996 0.0
0.6610766439665003 0.8884807239665005 0.6007701126942823 | 0.0 -0.6639999999999996 0.0
0.6590249306723609 0.886429010672361 0.6590249306723609 | 0.0 -0.6639999999999996 0.0
0.2889233560335001 0.8281741926942823 0.2889233560335001 | 0.0 -0.6639999999999996 0.0
0.286739094689572 0.8284787111670943 0.34892536883290604 | 0.0 -0.6639999999999996 0.0
0.2861760611975182 0.828748442478845 0.3999554671419561 | 0.0 -0.6639999999999996 0.0
0.286143036351386 0.8287806188633743 0.4499991686559713 | 0.0 -0.6639999999999996 0.0
0.286143036351386 0.8287806188633743 0.500000831344029 | 0.0 -0.6639999999999996 0.0
0.2861760611975182 0.828748442478845 0.5500445328580439 | 0.0 -0.6639999999999996 0.0
0.2867390946895721 0.8284787111670943 0.6010746311670941 | 0.0 -0.6639999999999996 0.0
0.2889233560335001 0.8281741926942823 0.6610766439665003 | 0.0 -0.6639999999999996 0.0
0.34892536883290604 0.8284787111670943 0.286739094689572 | 0.0 -0.6639999999999996 0.0
0.3484187080036348 0.8289853719963655 0.3484187080036348 | 0.0 -0.6639999999999996 0.0
0.34805552863896455 0.8293485513610355 0.3999657674592671 | 0.0 -0.6639999999999996 0.0
0.3480071979968519 0.8293968820031482 0.4500003811744725 | 0.0 -0.6639999999999996 0.0
0.3480071979968519 0.8293968820031482 0.4999996188255274 | 0.0 -0.6639999999999996 0.0
0.34805552863896455 0.8293485513610354 0.550034232540733 | 0.0 -0.6639999999999996 0.0
0.3484187080036347 0.8289853719963656 0.6015812919963655 | 0.0 -0.6639999999999996 0.0
0.34892536883290604 0.8284787111670942 0.6632609053104278 | 0.0 -0.6639999999999996 0.0
0.3999554671419561 0.828748442478845 0.2861760611975182 | 0.0 -0.6639999999999996 0.0
0.3999657674592671 0.8293485513610355 0.34805552863896455 | 0.0 -0.6639999999999996 0.0
0.39994139098114795 0.8297759563314933 0.3999413909811479 | 0.0 -0.6639999999999996 0.0
0.39991187692721136 0.8298391162196779 0.4500028232270724 | 0.0 -0.6639999999999996 0.0
0.3999118769272113 0.8298391162196779 0.49999717677292754 | 0.0 -0.6639999999999996 0.0
0.39994139098114795 0.8297759563314933 0.5500586090188525 | 0.0 -0.6639999999999996 0.0
0.3999657674592671 0.8293485513610355 0.6019444713610353 | 0.0 -0.6639999999999996 0.0
0.3999554671419561 0.828748442478845 0.6638239388024819 | 0.0 -0.6639999999999996 0.0
0.4499991686559713 0.8287806188633743 0.286143036351386 | 0.0 -0.6639999999999996 0.0
0.4500003811744725 0.8293968820031482 0.3480071979968519 | 0.0 -0.6639999999999996 0.0
0.4500028232270724 0.8298391162196779 0.39991187692721136 | 0.0 -0.6639999999999996 0.0
0.45000166977792944 0.8299098198697262 0.45000166977792944 | 0.0 -0.6639999999999996 0.0
0.45000166977792944 0.8299098198697262 0.4999983302220705 | 0.0 -0.6639999999999996 0.0
0.4500028232270724 0.8298391162196779 0.5500881230727883 | 0.0 -0.6639999999999996 0.0
0.45000038117447244 0.8293968820031482 0.6019928020031482 | 0.0 -0.6639999999999996 0.0
0.4499991686559713 0.8287806188633743 0.6638569636486136 | 0.0 -0.6639999999999996 0.0
0.500000831344029 0.8287806188633743 0.286143036351386 | 0.0 -0.6639999999999996 0.0
0.4999996188255274 0.8293968820031482 0.3480071979968519 | 0.0 -0.6639999999999996 0.0
0.49999717677292754 0.8298391162196779 0.3999118769272113 | 0.0 -0.6639999999999996 0.0
0.4999983302220705 0.8299098198697262 0.45000166977792944 | 0.0 -0.6639999999999996 0.0
0.4999983302220705 0.8299098198697263 0.4999983302220705 | 0.0 -0.6639999999999996 0.0
0.49999717677292754 0.8298391162196778 0.5500881230727883 | 0.0 -0.6639999999999996 0.0
0.49999961882552746 0.8293968820031482 0.6019928020031482 | 0.0 -0.6639999999999996 0.0
0.500000831344029 0.8287806188633743 0.6638569636486136 | 0.0 -0.6639999999999996 0.0
0.5500445328580439 0.828748442478845 0.2861760611975182 | 0.0 -0.6639999999999996 0.0
0.550034232540733 0.8293485513610354 0.34805552863896455 | 0.0 -0.6639999999999996 0.0
0.5500586090188525 0.8297759563314933 0.39994139098114795 | 0.0 -0.6639999999999996 0.0
0.5500881230727883 0.8298391162196779 0.4500028232270724 | 0.0 -0.6639999999999996 0.0
0.5500881230727883 0.8298391162196778 0.49999717677292754 | 0.0 -0.6639999999999996 0.0
0.5500586090188525 0.8297759563314933 0.5500586090188525 | 0.0 -0.6639999999999996 0.0
0.550034232540733 0.8293485513610355 0.6019444713610353 | 0.0 -0.6639999999999996 0.0
0.5500445328580439 0.828748442478845 0.6638239388024819 | 0.0 -0.6639999999999996 0.0
0.6010746311670941 0.8284787111670943 0.2867390946895721 | 0.0 -0.6639999999999996 0.0
0.6015812919963655 0.8289853719963656 0.3484187080036347 | 0.0 -0.6639999999999996 0.0
0.6019444713610353 0.8293485513610355 0.3999657674592671 | 0.0 -0.6639999999999996 0.0
0.6019928020031482 0.8293968820031482 0.45000038117447244 | 0.0 -0.6639999999999996 0.0
