512
0.28755241338406673 0.8620201066159338 0.28755241338406673 | 0.0 -0.9959999999999986 0.0
0.2849182380481203 0.8646542819518802 0.3483680157912951 | 0.0 -0.9959999999999986 0.0
0.2841412277050834 0.8654312922949169 0.39986353429385496 | 0.0 -0.9959999999999986 0.0
0.2840795131212486 0.8654930068787512 0.4499918811745002 | 0.0 -0.9959999999999986 0.0
0.2840795131212486 0.8654930068787512 0.5000081188255001 | 0.0 -0.9959999999999986 0.0
0.2841412277050833 0.8654312922949169 0.5501364657061449 | 0.0 -0.9959999999999986 0.0
0.2849182380481203 0.8646542819518802 0.601631984208705 | 0.0 -0.9959999999999986 0.0
0.28755241338406684 0.8620201066159338 0.6624475866159336 | 0.0 -0.9959999999999986 0.0
0.3483680157912951 0.8646542819518802 0.2849182380481203 | 0.0 -0.9959999999999986 0.0
0.34777543015063 0.8673174780530886 0.34777543015063 | 0.0 -0.9959999999999986 0.0
0.3472964661276524 0.8682698762529546 0.3998309917710556 | 0.0 -0.9959999999999986 0.0
0.34720690336925536 0.8683818046853935 0.44998933767567467 | 0.0 -0.9959999999999986 0.0
0.34720690336925536 0.8683818046853934 0.5000106623243258 | 0.0 -0.9959999999999986 0.0
0.3472964661276524 0.8682698762529546 0.5501690082289443 | 0.0 -0.9959999999999986 0.0
0.34777543015063 0.8673174780530886 0.6022245698493703 | 0.0 -0.9959999999999986 0.0
0.34836801579129517 0.8646542819518802 0.6650817619518801 | 0.0 -0.9959999999999986 0.0
0.39986353429385496 0.8654312922949169 0.2841412277050834 | 0.0 -0.9959999999999986 0.0
0.3998309917710556 0.8682698762529546 0.3472964661276524 | 0.0 -0.9959999999999986 0.0
0.39977050634350764 0.8693432970079991 0.39977050634350764 | 0.0 -0.9959999999999986 0.0
0.3997115194331642 0.869492006630122 0.44998978967478 | 0.0 -0.9959999999999986 0.0
0.3997115194331643 0.869492006630122 0.5000102103252201 | 0.0 -0.9959999999999986 0.0
0.39977050634350764 0.8693432970079991 0.5502294936564917 | 0.0 -0.9959999999999986 0.0
0.3998309917710555 0.8682698762529546 0.6027035338723474 | 0.0 -0.9959999999999986 0.0
