512
0.28317166231621516 0.8039865176837854 0.28317166231621516 | 0.0 -1.493999999999997 0.0
0.2799535722230859 0.8072046077769144 0.34674501308470224 | 0.0 -1.493999999999997 0.0
0.27859759318061045 0.80856058681939 0.39959307378383124 | 0.0 -1.493999999999997 0.0
0.27841816361507127 0.8087400163849284 0.4499642740370875 | 0.0 -1.493999999999997 0.0
0.2784181636150712 0.8087400163849284 0.5000357259629128 | 0.0 -1.493999999999997 0.0
0.2785975931806104 0.80856058681939 0.5504069262161687 | 0.0 -1.493999999999997 0.0
0.2799535722230859 0.8072046077769144 0.6032549869152979 | 0.0 -1.493999999999997 0.0
0.2831716623162152 0.8039865176837855 0.6668283376837852 | 0.0 -1.493999999999997 0.0
0.34674501308470224 0.8072046077769144 0.2799535722230859 | 0.0 -1.493999999999997 0.0
0.34570742783690755 0.8102755324386159 0.34570742783690755 | 0.0 -1.493999999999997 0.0
0.34487512943903686 0.8118138440191592 0.3994985952342484 | 0.0 -1.493999999999997 0.0
0.3446691937731345 0.8120977896035926 0.44994886179001464 | 0.0 -1.493999999999997 0.0
0.34466919377313443 0.8120977896035924 0.5000511382099858 | 0.0 -1.493999999999997 0.0
0.34487512943903686 0.8118138440191592 0.5505014047657516 | 0.0 -1.493999999999997 0.0
0.34570742783690755 0.8102755324386159 0.6042925721630932 | 0.0 -1.493999999999997 0.0
0.3467450130847023 0.8072046077769144 0.6700464277769141 | 0.0 -1.493999999999997 0.0
0.39959307378383124 0.80856058681939 0.27859759318061045 | 0.0 -1.493999999999997 0.0
0.3994985952342484 0.8118138440191592 0.34487512943903686 | 0.0 -1.493999999999997 0.0
0.39935033348900983 0.8134638393568882 0.39935033348900983 | 0.0 -1.493999999999997 0.0
0.39920933339782266 0.8138127753604603 0.4499454856014718 | 0.0 -1.493999999999997 0.0
0.39920933339782294 0.81381277536046 0.5000545143985282 | 0.0 -1.493999999999997 0.0
0.39935033348900983 0.8134638393568883 0.5506496665109892 | 0.0 -1.493999999999997 0.0
0.39949859523424824 0.8118138440191592 0.6051248705609631 | 0.0 -1.493999999999997 0.0
0.3995930737838313 0.80856058681939 0.6714024068193898 | 0.0 -1.493999999999997 0.0
0.4499642740370875 0.8087400163849284 0.27841816361507127 | 0.0 -1.493999999999997 0.0
0.44994886179001464 0.8120977896035926 0.34466919377313454 | 0.0 -1.493999999999997 0.0
0.4499454856014718 0.8138127753604603 0.3992093333978228 | 0.0 -1.493999999999997 0.0
0.44992673032131614 0.8142075037641655 0.4499267303213161 | 0.0 -1.493999999999997 0.0
0.4499267303213163 0.8142075037641656 0.5000732696786835 | 0.0 -1.493999999999997 0.0
0.4499454856014718 0.8138127753604601 0.5507906666021776 | 0.0 -1.493999999999997 0.0
0.4499488617900146 0.8120977896035925 0.6053308062268653 | 0.0 -1.493999999999997 0.0
0.44996427403708755 0.8087400163849284 0.6715818363849282 | 0.0 -1.493999999999997 0.0
0.5000357259629128 0.8087400163849284 0.2784181636150712 | 0.0 -1.493999999999997 0.0
0.5000511382099857 0.8120977896035924 0.34466919377313443 | 0.0 -1.493999999999997 0.0
0.5000545143985282 0.8138127753604599 0.39920933339782294 | 0.0 -1.493999999999997 0.0
0.5000732696786835 0.8142075037641656 0.4499267303213163 | 0.0 -1.493999999999997 0.0
0.5000732696786834 0.8142075037641657 0.5000732696786834 | 0.0 -1.493999999999997 0.0
0.5000545143985281 0.8138127753604598 0.5507906666021775 | 0.0 -1.493999999999997 0.0
0.5000511382099859 0.8120977896035926 0.6053308062268653 | 0.0 -1.493999999999997 0.0
0.5000357259629128 0.8087400163849284 0.6715818363849282 | 0.0 -1.493999999999997 0.0
0.5504069262161687 0.80856058681939 0.2785975931806104 | 0.0 -1.493999999999997 0.0
0.5505014047657516 0.8118138440191592 0.34487512943903686 | 0.0 -1.493999999999997 0.0
0.5506496665109892 0.8134638393568883 0.39935033348900983 | 0.0 -1.493999999999997 0.0
0.5507906666021776 0.8138127753604601 0.4499454856014718 | 0.0 -1.493999999999997 0.0
0.5507906666021775 0.8138127753604598 0.5000545143985281 | 0.0 -1.493999999999997 0.0
0.5506496665109892 0.8134638393568883 0.5506496665109892 | 0.0 -1.493999999999997 0.0
0.5505014047657516 0.8118138440191592 0.6051248705609631 | 0.0 -1.493999999999997 0.0
0.5504069262161687 0.80856058681939 0.6714024068193898 | 0.0 -1.493999999999997 0.0
0.6032549869152979 0.8072046077769144 0.2799535722230859 | 0.0 -1.493999999999997 0.0
0.6042925721630932 0.8102755324386159 0.34570742783690755 | 0.0 -1.493999999999997 0.0
0.6051248705609631 0.8118138440191592 0.39949859523424824 | 0.0 -1.493999999999997 0.0
0.6053308062268653 0.8120977896035925 0.4499488617900146 | 0.0 -1.493999999999997 0.0
0.6053308062268653 0.8120977896035926 0.5000511382099859 | 0.0 -1.493999999999997 0.0
0.6051248705609631 0.8118138440191592 0.5505014047657516 | 0.0 -1.493999999999997 0.0
0.6042925721630931 0.8102755324386159 0.604292572163093 | 0.0 -1.493999999999997 0.0
0.6032549869152979 0.8072046077769144 0.6700464277769141 | 0.0 -1.493999999999997 0.0
0.6668283376837852 0.8039865176837855 0.28317166231621516 | 0.0 -1.493999999999997 0.0
0.6700464277769141 0.8072046077769144 0.3467450130847023 | 0.0 -1.493999999999997 0.0
0.6714024068193898 0.80856058681939 0.3995930737838313 | 0.0 -1.493999999999997 0.0
0.6715818363849282 0.8087400163849284 0.44996427403708755 | 0.0 -1.493999999999997 0.0
0.6715818363849282 0.8087400163849284 0.5000357259629128 | 0.0 -1.493999999999997 0.0
0.6714024068193899 0.80856058681939 0.5504069262161687 | 0.0 -1.493999999999997 0.0
0.6700464277769141 0.8072046077769144 0.6032549869152979 | 0.0 -1.493999999999997 0.0
0.6668283376837852 0.8039865176837855 0.6668283376837852 | 0.0 -1.493999999999997 0.0
0.279953572223086 0.740413166915298 0.279953572223086 | 0.0 -1.493999999999997 0.0
0.2768826475613842 0.7414507521630934 0.34570742783690755 | 0.0 -1.493999999999997 0.0
0.2753443359808404 0.7422830505609632 0.3994985952342482 | 0.0 -1.493999999999997 0.0
0.2750603903964073 0.7424889862268654 0.4499488617900145 | 0.0 -1.493999999999997 0.0
0.2750603903964073 0.7424889862268654 0.500051138209986 | 0.0 -1.493999999999997 0.0
0.2753443359808404 0.7422830505609632 0.5505014047657516 | 0.0 -1.493999999999997 0.0
0.2768826475613843 0.7414507521630934 0.6042925721630932 | 0.0 -1.493999999999997 0.0
0.2799535722230859 0.740413166915298 0.6700464277769141 | 0.0 -1.493999999999997 0.0
0.34570742783690755 0.7414507521630934 0.2768826475613842 | 0.0 -1.493999999999997 0.0
0.344098005824102 0.7430601741758985 0.344098005824102 | 0.0 -1.493999999999997 0.0
0.34304477546979883 0.7441134045302015 0.3992753927172903 | 0.0 -1.493999999999997 0.0
0.3426827003178125 0.744475479682187 0.4499321112958649 | 0.0 -1.493999999999997 0.0
0.3426827003178126 0.744475479682187 0.5000678887041351 | 0.0 -1.493999999999997 0.0
0.3430447754697988 0.7441134045302014 0.5507246072827094 | 0.0 -1.493999999999997 0.0
0.3440980058241018 0.7430601741758986 0.6059019941758984 | 0.0 -1.493999999999997 0.0
0.34570742783690755 0.7414507521630933 0.6731173524386157 | 0.0 -1.493999999999997 0.0
0.3994985952342482 0.7422830505609632 0.2753443359808404 | 0.0 -1.493999999999997 0.0
0.3992753927172903 0.7441134045302015 0.34304477546979883 | 0.0 -1.493999999999997 0.0
0.3990244894381463 0.7453925459938415 0.3990244894381462 | 0.0 -1.493999999999997 0.0
0.39879444237339645 0.7458544674598779 0.4499323096066856 | 0.0 -1.493999999999997 0.0
0.3987944423733963 0.7458544674598779 0.5000676903933144 | 0.0 -1.493999999999997 0.0
0.3990244894381462 0.7453925459938415 0.5509755105618543 | 0.0 -1.493999999999997 0.0
0.39927539271729034 0.7441134045302016 0.6069552245302013 | 0.0 -1.493999999999997 0.0
0.39949859523424824 0.7422830505609632 0.6746556640191591 | 0.0 -1.493999999999997 0.0
0.4499488617900145 0.7424889862268654 0.2750603903964073 | 0.0 -1.493999999999997 0.0
0.4499321112958649 0.744475479682187 0.3426827003178125 | 0.0 -1.493999999999997 0.0
0.44993230960668557 0.7458544674598779 0.39879444237339645 | 0.0 -1.493999999999997 0.0
0.4499010905881479 0.7463865133973799 0.4499010905881479 | 0.0 -1.493999999999997 0.0
0.4499010905881479 0.74638651339738 0.500098909411852 | 0.0 -1.493999999999997 0.0
0.4499323096066856 0.7458544674598779 0.551205557626603 | 0.0 -1.493999999999997 0.0
0.44993211129586513 0.744475479682187 0.6073172996821868 | 0.0 -1.493999999999997 0.0
0.4499488617900146 0.7424889862268654 0.6749396096035924 | 0.0 -1.493999999999997 0.0
0.500051138209986 0.7424889862268654 0.2750603903964073 | 0.0 -1.493999999999997 0.0
0.5000678887041351 0.744475479682187 0.3426827003178126 | 0.0 -1.493999999999997 0.0
0.5000676903933144 0.7458544674598779 0.3987944423733963 | 0.0 -1.493999999999997 0.0
0.500098909411852 0.74638651339738 0.4499010905881479 | 0.0 -1.493999999999997 0.0
0.5000989094118521 0.74638651339738 0.5000989094118521 | 0.0 -1.493999999999997 0.0
0.5000676903933144 0.7458544674598778 0.5512055576266031 | 0.0 -1.493999999999997 0.0
0.500067888704135 0.744475479682187 0.6073172996821868 | 0.0 -1.493999999999997 0.0
0.5000511382099859 0.7424889862268654 0.6749396096035924 | 0.0 -1.493999999999997 0.0
0.5505014047657516 0.7422830505609632 0.2753443359808404 | 0.0 -1.493999999999997 0.0
0.5507246072827094 0.7441134045302014 0.3430447754697988 | 0.0 -1.493999999999997 0.0
0.5509755105618543 0.7453925459938415 0.3990244894381462 | 0.0 -1.493999999999997 0.0
0.551205557626603 0.7458544674598779 0.4499323096066856 | 0.0 -1.493999999999997 0.0
0.5512055576266031 0.7458544674598778 0.5000676903933144 | 0.0 -1.493999999999997 0.0
0.5509755105618543 0.7453925459938413 0.5509755105618543 | 0.0 -1.493999999999997 0.0
0.5507246072827093 0.7441134045302016 0.6069552245302013 | 0.0 -1.493999999999997 0.0
0.5505014047657516 0.7422830505609632 0.6746556640191591 | 0.0 -1.493999999999997 0.0
0.6042925721630932 0.7414507521630934 0.2768826475613843 | 0.0 -1.493999999999997 0.0
0.6059019941758984 0.7430601741758986 0.3440980058241018 | 0.0 -1.493999999999997 0.0
0.6069552245302013 0.7441134045302016 0.39927539271729034 | 0.0 -1.493999999999997 0.0
0.6073172996821868 0.744475479682187 0.44993211129586513 | 0.0 -1.493999999999997 0.0
0.6073172996821868 0.744475479682187 0.500067888704135 | 0.0 -1.493999999999997 0.0
