512
0.2892016505310865 0.8756644494689139 0.2892016505310865 | 0.0 -0.8299999999999991 0.0
0.28683336112499996 0.8780327388750004 0.34882929469374263 | 0.0 -0.8299999999999991 0.0
0.2862406951841967 0.8786254048158036 0.3999175385595188 | 0.0 -0.8299999999999991 0.0
0.2862020737115477 0.8786640262884523 0.44999624671705674 | 0.0 -0.8299999999999991 0.0
0.2862020737115477 0.8786640262884523 0.5000037532829436 | 0.0 -0.8299999999999991 0.0
0.28624069518419665 0.8786254048158036 0.5500824614404811 | 0.0 -0.8299999999999991 0.0
0.28683336112499996 0.8780327388750004 0.6011707053062575 | 0.0 -0.8299999999999991 0.0
0.28920165053108654 0.8756644494689139 0.6607983494689137 | 0.0 -0.8299999999999991 0.0
0.34882929469374263 0.8780327388750004 0.28683336112499996 | 0.0 -0.8299999999999991 0.0
0.34838383844398785 0.8804862024193895 0.34838383844398785 | 0.0 -0.8299999999999991 0.0
0.3480111570353895 0.881242697205722 0.3999033872347416 | 0.0 -0.8299999999999991 0.0
0.34795291632873543 0.8813099835831715 0.4499957776994726 | 0.0 -0.8299999999999991 0.0
0.34795291632873543 0.8813099835831714 0.5000042223005278 | 0.0 -0.8299999999999991 0.0
0.3480111570353895 0.881242697205722 0.5500966127652585 | 0.0 -0.8299999999999991 0.0
0.34838383844398785 0.8804862024193895 0.6016161615560125 | 0.0 -0.8299999999999991 0.0
0.3488292946937427 0.8780327388750004 0.6631666388750003 | 0.0 -0.8299999999999991 0.0
0.3999175385595188 0.8786254048158036 0.2862406951841967 | 0.0 -0.8299999999999991 0.0
0.3999033872347416 0.881242697205722 0.3480111570353895 | 0.0 -0.8299999999999991 0.0
0.39986431678141704 0.8821155679911002 0.39986431678141704 | 0.0 -0.8299999999999991 0.0
0.39982766329297464 0.8822086816129279 0.449996499515643 | 0.0 -0.8299999999999991 0.0
0.39982766329297476 0.8822086816129279 0.500003500484357 | 0.0 -0.8299999999999991 0.0
0.39986431678141704 0.8821155679911002 0.5501356832185824 | 0.0 -0.8299999999999991 0.0
0.39990338723474156 0.881242697205722 0.6019888429646105 | 0.0 -0.8299999999999991 0.0
0.39991753855951884 0.8786254048158036 0.6637593048158035 | 0.0 -0.8299999999999991 0.0
0.44999624671705674 0.8786640262884523 0.2862020737115477 | 0.0 -0.8299999999999991 0.0
0.4499957776994726 0.8813099835831715 0.34795291632873543 | 0.0 -0.8299999999999991 0.0
0.449996499515643 0.8822086816129279 0.39982766329297476 | 0.0 -0.8299999999999991 0.0
0.4499940132257248 0.8823159290138728 0.4499940132257248 | 0.0 -0.8299999999999991 0.0
0.4499940132257249 0.8823159290138728 0.500005986774275 | 0.0 -0.8299999999999991 0.0
0.449996499515643 0.8822086816129279 0.5501723367070257 | 0.0 -0.8299999999999991 0.0
0.4499957776994726 0.8813099835831715 0.6020470836712645 | 0.0 -0.8299999999999991 0.0
0.44999624671705674 0.8786640262884523 0.6637979262884521 | 0.0 -0.8299999999999991 0.0
0.5000037532829436 0.8786640262884523 0.2862020737115477 | 0.0 -0.8299999999999991 0.0
