512
0.2973600249731061 0.901124395026894 0.2973600249731061 | 0.0 -0.166 0.0
0.29668155900547977 0.9018028609945204 0.34996819197695017 | 0.0 -0.166 0.0
0.2966465164821483 0.9018379035178518 0.4000011650949674 | 0.0 -0.166 0.0
0.29664702498493023 0.9018373950150699 0.4500000388164672 | 0.0 -0.166 0.0
0.29664702498493023 0.9018373950150699 0.4999999611835328 | 0.0 -0.166 0.0
0.2966465164821483 0.9018379035178518 0.5499988349050325 | 0.0 -0.166 0.0
0.29668155900547977 0.9018028609945204 0.6000318080230499 | 0.0 -0.166 0.0
0.29736002497310615 0.901124395026894 0.652639975026894 | 0.0 -0.166 0.0
0.34996819197695017 0.9018028609945204 0.29668155900547977 | 0.0 -0.166 0.0
0.3499560506934958 0.9025908553055552 0.3499560506934958 | 0.0 -0.166 0.0
0.349938115511094 0.9026385875401743 0.4000022384028924 | 0.0 -0.166 0.0
0.349938069025232 0.9026376751115397 0.45000005185274794 | 0.0 -0.166 0.0
0.349938069025232 0.9026376751115397 0.4999999481472522 | 0.0 -0.166 0.0
0.349938115511094 0.9026385875401743 0.5499977615971077 | 0.0 -0.166 0.0
0.3499560506934958 0.9025908553055552 0.6000439493065042 | 0.0 -0.166 0.0
0.34996819197695017 0.9018028609945204 0.6533184409945204 | 0.0 -0.166 0.0
0.4000011650949674 0.9018379035178518 0.2966465164821483 | 0.0 -0.166 0.0
0.4000022384028924 0.9026385875401743 0.349938115511094 | 0.0 -0.166 0.0
0.40000235113851784 0.9026938389594611 0.40000235113851784 | 0.0 -0.166 0.0
0.40000212453450806 0.9026929607686606 0.45000007491798283 | 0.0 -0.166 0.0
0.4000021245345081 0.9026929607686606 0.4999999250820171 | 0.0 -0.166 0.0
0.40000235113851784 0.9026938389594611 0.5499976488614821 | 0.0 -0.166 0.0
0.4000022384028924 0.9026385875401743 0.6000618844889061 | 0.0 -0.166 0.0
0.4000011650949674 0.9018379035178518 0.6533534835178517 | 0.0 -0.166 0.0
0.4500000388164672 0.9018373950150699 0.29664702498493023 | 0.0 -0.166 0.0
0.45000005185274794 0.9026376751115397 0.349938069025232 | 0.0 -0.166 0.0
0.45000007491798283 0.9026929607686606 0.4000021245345082 | 0.0 -0.166 0.0
0.4500000829458162 0.9026921839314872 0.4500000829458162 | 0.0 -0.166 0.0
0.4500000829458162 0.9026921839314872 0.49999991705418384 | 0.0 -0.166 0.0
0.45000007491798283 0.9026929607686606 0.549997875465492 | 0.0 -0.166 0.0
0.45000005185274794 0.9026376751115397 0.600061930974768 | 0.0 -0.166 0.0
0.4500000388164672 0.9018373950150699 0.6533529750150698 | 0.0 -0.166 0.0
0.4999999611835328 0.9018373950150699 0.29664702498493023 | 0.0 -0.166 0.0
0.4999999481472522 0.9026376751115397 0.349938069025232 | 0.0 -0.166 0.0
0.4999999250820171 0.9026929607686606 0.4000021245345081 | 0.0 -0.166 0.0
0.49999991705418384 0.9026921839314872 0.4500000829458162 | 0.0 -0.166 0.0
0.49999991705418384 0.9026921839314872 0.49999991705418384 | 0.0 -0.166 0.0
0.4999999250820171 0.9026929607686606 0.549997875465492 | 0.0 -0.166 0.0
0.4999999481472522 0.9026376751115397 0.600061930974768 | 0.0 -0.166 0.0
0.4999999611835328 0.9018373950150699 0.6533529750150698 | 0.0 -0.166 0.0
0.5499988349050325 0.9018379035178518 0.2966465164821483 | 0.0 -0.166 0.0
0.5499977615971077 0.9026385875401743 0.349938115511094 | 0.0 -0.166 0.0
0.5499976488614821 0.9026938389594611 0.40000235113851784 | 0.0 -0.166 0.0
0.549997875465492 0.9026929607686606 0.45000007491798283 | 0.0 -0.166 0.0
0.549997875465492 0.9026929607686606 0.4999999250820171 | 0.0 -0.166 0.0
0.5499976488614821 0.9026938389594611 0.5499976488614821 | 0.0 -0.166 0.0
0.5499977615971077 0.9026385875401743 0.6000618844889061 | 0.0 -0.166 0.0
0.5499988349050325 0.9018379035178518 0.6533534835178517 | 0.0 -0.166 0.0
0.6000318080230499 0.9018028609945204 0.29668155900547977 | 0.0 -0.166 0.0
0.6000439493065042 0.9025908553055552 0.3499560506934958 | 0.0 -0.166 0.0
0.6000618844889061 0.9026385875401743 0.4000022384028924 | 0.0 -0.166 0.0
0.600061930974768 0.9026376751115397 0.45000005185274794 | 0.0 -0.166 0.0
0.600061930974768 0.9026376751115397 0.4999999481472522 | 0.0 -0.166 0.0
0.6000618844889061 0.9026385875401743 0.5499977615971077 | 0.0 -0.166 0.0
0.6000439493065042 0.9025908553055552 0.6000439493065042 | 0.0 -0.166 0.0
0.6000318080230499 0.9018028609945204 0.6533184409945204 | 0.0 -0.166 0.0
0.652639975026894 0.901124395026894 0.29736002497310615 | 0.0 -0.166 0.0
0.6533184409945204 0.9018028609945204 0.34996819197695017 | 0.0 -0.166 0.0
0.6533534835178517 0.9018379035178518 0.4000011650949674 | 0.0 -0.166 0.0
0.6533529750150698 0.9018373950150699 0.4500000388164672 | 0.0 -0.166 0.0
0.6533529750150698 0.9018373950150699 0.4999999611835328 | 0.0 -0.166 0.0
0.6533534835178517 0.9018379035178518 0.5499988349050325 | 0.0 -0.166 0.0
0.6533184409945204 0.9018028609945204 0.6000318080230499 | 0.0 -0.166 0.0
0.652639975026894 0.901124395026894 0.652639975026894 | 0.0 -0.166 0.0
0.29668155900547977 0.8485162280230498 0.29668155900547977 | 0.0 -0.166 0.0
0.29589356469444494 0.8485283693065041 0.3499560506934958 | 0.0 -0.166 0.0
0.2958458324598257 0.848546304488906 0.4000022384028924 | 0.0 -0.166 0.0
0.29584674488846 0.8485463509747679 0.45000005185274794 | 0.0 -0.166 0.0
0.29584674488846 0.8485463509747679 0.4999999481472522 | 0.0 -0.166 0.0
0.2958458324598257 0.848546304488906 0.5499977615971077 | 0.0 -0.166 0.0
0.29589356469444494 0.8485283693065041 0.6000439493065042 | 0.0 -0.166 0.0
0.29668155900547977 0.8485162280230498 0.6533184409945204 | 0.0 -0.166 0.0
0.3499560506934958 0.8485283693065041 0.29589356469444494 | 0.0 -0.166 0.0
0.3499381371178537 0.8485462828821462 0.3499381371178537 | 0.0 -0.166 0.0
0.3499133013462561 0.8485711186537439 0.4000042238577099 | 0.0 -0.166 0.0
0.3499132707640493 0.8485711492359506 0.45000006571609524 | 0.0 -0.166 0.0
0.3499132707640493 0.8485711492359506 0.49999993428390466 | 0.0 -0.166 0.0
0.3499133013462561 0.8485711186537438 0.5499957761422901 | 0.0 -0.166 0.0
0.3499381371178537 0.8485462828821462 0.6000618628821462 | 0.0 -0.166 0.0
0.3499560506934958 0.8485283693065041 0.6541064353055551 | 0.0 -0.166 0.0
