512
0.28455188497016415 0.8261666750298365 0.28455188497016415 | 0.0 -1.3279999999999976 0.0
0.28149949259918916 0.8292190674008113 0.3473141209164279 | 0.0 -1.3279999999999976 0.0
0.28033553720903526 0.8303830227909653 0.39970186544357866 | 0.0 -1.3279999999999976 0.0
0.2802031386888744 0.8305154213111253 0.4499761700185668 | 0.0 -1.3279999999999976 0.0
0.28020313868887436 0.8305154213111253 0.5000238299814336 | 0.0 -1.3279999999999976 0.0
0.2803355372090352 0.8303830227909653 0.5502981345564212 | 0.0 -1.3279999999999976 0.0
0.28149949259918916 0.8292190674008113 0.6026858790835723 | 0.0 -1.3279999999999976 0.0
0.2845518849701642 0.8261666750298367 0.6654481150298364 | 0.0 -1.3279999999999976 0.0
0.3473141209164279 0.8292190674008113 0.28149949259918916 | 0.0 -1.3279999999999976 0.0
0.3464238228092074 0.8321792759074081 0.3464238228092074 | 0.0 -1.3279999999999976 0.0
0.3457132481473614 0.8335261835527863 0.39962948675562476 | 0.0 -1.3279999999999976 0.0
0.34555098414666213 0.8337464398214426 0.44996583872259893 | 0.0 -1.3279999999999976 0.0
0.34555098414666213 0.8337464398214424 0.5000341612774014 | 0.0 -1.3279999999999976 0.0
0.3457132481473614 0.8335261835527863 0.5503705132443752 | 0.0 -1.3279999999999976 0.0
0.3464238228092074 0.8321792759074081 0.6035761771907933 | 0.0 -1.3279999999999976 0.0
0.34731412091642794 0.8292190674008113 0.668500507400811 | 0.0 -1.3279999999999976 0.0
0.39970186544357866 0.8303830227909653 0.28033553720903526 | 0.0 -1.3279999999999976 0.0
0.39962948675562476 0.8335261835527863 0.3457132481473614 | 0.0 -1.3279999999999976 0.0
0.3995149558555332 0.834990524403927 0.3995149558555332 | 0.0 -1.3279999999999976 0.0
0.3994020832735719 0.835267013818721 0.44996457238115345 | 0.0 -1.3279999999999976 0.0
0.3994020832735722 0.8352670138187208 0.5000354276188466 | 0.0 -1.3279999999999976 0.0
0.3995149558555332 0.8349905244039271 0.5504850441444658 | 0.0 -1.3279999999999976 0.0
0.3996294867556246 0.8335261835527863 0.6042867518526386 | 0.0 -1.3279999999999976 0.0
