512
0.2950115908096684 0.8992016491903319 0.2950115908096684 | 0.0 -0.332 0.0
0.29378776145307567 0.9004254785469246 0.3498122996632561 | 0.0 -0.332 0.0
0.29364812728271483 0.9005651127172852 0.3999981808430995 | 0.0 -0.332 0.0
0.29364694359045074 0.9005662964095492 0.45000019977039174 | 0.0 -0.332 0.0
0.29364694359045074 0.9005662964095492 0.49999980022960827 | 0.0 -0.332 0.0
0.29364812728271483 0.9005651127172852 0.5500018191569004 | 0.0 -0.332 0.0
0.29378776145307567 0.9004254785469246 0.6001877003367441 | 0.0 -0.332 0.0
0.29501159080966843 0.8992016491903319 0.6549884091903319 | 0.0 -0.332 0.0
0.3498122996632561 0.9004254785469246 0.29378776145307567 | 0.0 -0.332 0.0
0.34973758732518023 0.9018185910113479 0.34973758732518023 | 0.0 -0.332 0.0
0.34966200931830727 0.9020098393135033 0.40000121238700515 | 0.0 -0.332 0.0
0.3496587898880773 0.9020106259932918 0.4500003253117167 | 0.0 -0.332 0.0
0.3496587898880773 0.9020106259932918 0.49999967468828344 | 0.0 -0.332 0.0
0.34966200931830727 0.9020098393135033 0.5499987876129949 | 0.0 -0.332 0.0
0.34973758732518023 0.9018185910113479 0.6002624126748197 | 0.0 -0.332 0.0
0.34981229966325617 0.9004254785469246 0.6562122385469246 | 0.0 -0.332 0.0
0.3999981808430995 0.9005651127172852 0.29364812728271483 | 0.0 -0.332 0.0
0.40000121238700515 0.9020098393135033 0.34966200931830727 | 0.0 -0.332 0.0
0.3999993418362269 0.9022326543943735 0.3999993418362269 | 0.0 -0.332 0.0
0.399996877306359 0.9022349356385533 0.45000051523997237 | 0.0 -0.332 0.0
0.3999968773063591 0.9022349356385533 0.4999994847600276 | 0.0 -0.332 0.0
0.3999993418362269 0.9022326543943735 0.550000658163773 | 0.0 -0.332 0.0
0.40000121238700515 0.9020098393135033 0.6003379906816928 | 0.0 -0.332 0.0
0.39999818084309946 0.9005651127172852 0.6563518727172852 | 0.0 -0.332 0.0
0.45000019977039174 0.9005662964095492 0.29364694359045074 | 0.0 -0.332 0.0
0.4500003253117167 0.9020106259932918 0.3496587898880773 | 0.0 -0.332 0.0
0.45000051523997237 0.9022349356385533 0.39999687730635913 | 0.0 -0.332 0.0
0.45000051833564 0.902238213398656 0.45000051833564 | 0.0 -0.332 0.0
0.45000051833564 0.902238213398656 0.4999994816643601 | 0.0 -0.332 0.0
0.45000051523997237 0.9022349356385533 0.5500031226936409 | 0.0 -0.332 0.0
0.4500003253117167 0.9020106259932918 0.6003412101119228 | 0.0 -0.332 0.0
0.45000019977039174 0.9005662964095492 0.6563530564095492 | 0.0 -0.332 0.0
0.49999980022960827 0.9005662964095492 0.29364694359045074 | 0.0 -0.332 0.0
0.49999967468828344 0.9020106259932918 0.3496587898880773 | 0.0 -0.332 0.0
0.4999994847600276 0.9022349356385533 0.3999968773063591 | 0.0 -0.332 0.0
0.4999994816643601 0.902238213398656 0.45000051833564 | 0.0 -0.332 0.0
0.4999994816643601 0.902238213398656 0.4999994816643601 | 0.0 -0.332 0.0
0.4999994847600276 0.9022349356385533 0.5500031226936409 | 0.0 -0.332 0.0
0.49999967468828344 0.9020106259932918 0.6003412101119228 | 0.0 -0.332 0.0
0.49999980022960827 0.9005662964095492 0.6563530564095492 | 0.0 -0.332 0.0
0.5500018191569004 0.9005651127172852 0.29364812728271483 | 0.0 -0.332 0.0
0.5499987876129949 0.9020098393135033 0.34966200931830727 | 0.0 -0.332 0.0
0.550000658163773 0.9022326543943735 0.3999993418362269 | 0.0 -0.332 0.0
0.5500031226936409 0.9022349356385533 0.45000051523997237 | 0.0 -0.332 0.0
0.5500031226936409 0.9022349356385533 0.4999994847600276 | 0.0 -0.332 0.0
0.550000658163773 0.9022326543943735 0.550000658163773 | 0.0 -0.332 0.0
0.5499987876129949 0.9020098393135033 0.6003379906816928 | 0.0 -0.332 0.0
0.5500018191569004 0.9005651127172852 0.6563518727172852 | 0.0 -0.332 0.0
0.6001877003367441 0.9004254785469246 0.29378776145307567 | 0.0 -0.332 0.0
0.6002624126748197 0.9018185910113479 0.34973758732518023 | 0.0 -0.332 0.0
0.6003379906816928 0.9020098393135033 0.40000121238700515 | 0.0 -0.332 0.0
0.6003412101119228 0.9020106259932918 0.4500003253117167 | 0.0 -0.332 0.0
0.6003412101119228 0.9020106259932918 0.49999967468828344 | 0.0 -0.332 0.0
0.6003379906816928 0.9020098393135033 0.5499987876129949 | 0.0 -0.332 0.0
0.6002624126748197 0.9018185910113479 0.6002624126748197 | 0.0 -0.332 0.0
0.6001877003367441 0.9004254785469246 0.6562122385469246 | 0.0 -0.332 0.0
0.6549884091903319 0.8992016491903319 0.29501159080966843 | 0.0 -0.332 0.0
0.6562122385469246 0.9004254785469246 0.34981229966325617 | 0.0 -0.332 0.0
0.6563518727172852 0.9005651127172852 0.39999818084309946 | 0.0 -0.332 0.0
0.6563530564095492 0.9005662964095492 0.45000019977039174 | 0.0 -0.332 0.0
0.6563530564095492 0.9005662964095492 0.49999980022960827 | 0.0 -0.332 0.0
0.6563518727172852 0.9005651127172852 0.5500018191569004 | 0.0 -0.332 0.0
0.6562122385469246 0.9004254785469246 0.6001877003367441 | 0.0 -0.332 0.0
0.6549884091903319 0.8992016491903319 0.6549884091903319 | 0.0 -0.332 0.0
0.29378776145307567 0.844400940336744 0.29378776145307567 | 0.0 -0.332 0.0
0.2923946489886521 0.8444756526748196 0.34973758732518023 | 0.0 -0.332 0.0
0.29220340068649675 0.8445512306816927 0.40000121238700515 | 0.0 -0.332 0.0
0.2922026140067077 0.8445544501119226 0.4500003253117167 | 0.0 -0.332 0.0
0.2922026140067077 0.8445544501119226 0.49999967468828344 | 0.0 -0.332 0.0
0.29220340068649675 0.8445512306816927 0.5499987876129949 | 0.0 -0.332 0.0
0.29239464898865214 0.8444756526748196 0.6002624126748197 | 0.0 -0.332 0.0
0.29378776145307567 0.844400940336744 0.6562122385469246 | 0.0 -0.332 0.0
0.34973758732518023 0.8444756526748196 0.2923946489886521 | 0.0 -0.332 0.0
0.3496236538993901 0.8445895861006097 0.3496236538993901 | 0.0 -0.332 0.0
0.3495208840465333 0.8446923559534666 0.4000088568340031 | 0.0 -0.332 0.0
0.34951631394136107 0.844696926058639 0.45000052630175474 | 0.0 -0.332 0.0
0.34951631394136107 0.844696926058639 0.49999947369824516 | 0.0 -0.332 0.0
0.3495208840465333 0.8446923559534665 0.5499911431659968 | 0.0 -0.332 0.0
0.3496236538993901 0.8445895861006097 0.6003763461006099 | 0.0 -0.332 0.0
0.34973758732518023 0.8444756526748196 0.6576053510113479 | 0.0 -0.332 0.0
0.40000121238700515 0.8445512306816927 0.29220340068649675 | 0.0 -0.332 0.0
0.4000088568340031 0.8446923559534666 0.3495208840465333 | 0.0 -0.332 0.0
0.400007154567578 0.8448088927997778 0.400007154567578 | 0.0 -0.332 0.0
0.4000035040309895 0.844814907228961 0.45000088652393916 | 0.0 -0.332 0.0
0.4000035040309895 0.844814907228961 0.4999991134760608 | 0.0 -0.332 0.0
0.400007154567578 0.8448088927997778 0.549992845432422 | 0.0 -0.332 0.0
0.4000088568340031 0.8446923559534666 0.6004791159534666 | 0.0 -0.332 0.0
0.40000121238700515 0.8445512306816927 0.6577965993135033 | 0.0 -0.332 0.0
0.4500003253117167 0.8445544501119226 0.2922026140067077 | 0.0 -0.332 0.0
0.45000052630175474 0.844696926058639 0.34951631394136107 | 0.0 -0.332 0.0
0.45000088652393916 0.844814907228961 0.4000035040309895 | 0.0 -0.332 0.0
0.4500009185527724 0.8448216576592366 0.4500009185527724 | 0.0 -0.332 0.0
0.4500009185527724 0.8448216576592366 0.49999908144722754 | 0.0 -0.332 0.0
0.45000088652393916 0.844814907228961 0.5499964959690105 | 0.0 -0.332 0.0
0.4500005263017547 0.844696926058639 0.6004836860586391 | 0.0 -0.332 0.0
0.4500003253117167 0.8445544501119226 0.6577973859932918 | 0.0 -0.332 0.0
0.49999967468828344 0.8445544501119226 0.2922026140067077 | 0.0 -0.332 0.0
0.49999947369824516 0.844696926058639 0.34951631394136107 | 0.0 -0.332 0.0
0.4999991134760608 0.844814907228961 0.4000035040309895 | 0.0 -0.332 0.0
0.49999908144722754 0.8448216576592366 0.4500009185527724 | 0.0 -0.332 0.0
0.49999908144722754 0.8448216576592366 0.49999908144722754 | 0.0 -0.332 0.0
0.4999991134760608 0.844814907228961 0.5499964959690105 | 0.0 -0.332 0.0
0.4999994736982452 0.844696926058639 0.6004836860586391 | 0.0 -0.332 0.0
0.49999967468828344 0.8445544501119226 0.6577973859932918 | 0.0 -0.332 0.0
0.5499987876129949 0.8445512306816927 0.29220340068649675 | 0.0 -0.332 0.0
0.5499911431659968 0.8446923559534665 0.3495208840465333 | 0.0 -0.332 0.0
0.549992845432422 0.8448088927997778 0.400007154567578 | 0.0 -0.332 0.0
0.5499964959690105 0.844814907228961 0.45000088652393916 | 0.0 -0.332 0.0
0.5499964959690105 0.844814907228961 0.4999991134760608 | 0.0 -0.332 0.0
0.549992845432422 0.8448088927997778 0.549992845432422 | 0.0 -0.332 0.0
0.5499911431659968 0.8446923559534666 0.6004791159534666 | 0.0 -0.332 0.0
0.5499987876129949 0.8445512306816927 0.6577965993135033 | 0.0 -0.332 0.0
0.6002624126748197 0.8444756526748196 0.29239464898865214 | 0.0 -0.332 0.0
0.6003763461006099 0.8445895861006097 0.3496236538993901 | 0.0 -0.332 0.0
0.6004791159534666 0.8446923559534666 0.4000088568340031 | 0.0 -0.332 0.0
0.6004836860586391 0.844696926058639 0.4500005263017547 | 0.0 -0.332 0.0
0.6004836860586391 0.844696926058639 0.4999994736982452 | 0.0 -0.332 0.0
0.6004791159534666 0.8446923559534666 0.5499911431659968 | 0.0 -0.332 0.0
0.6003763461006099 0.8445895861006097 0.6003763461006099 | 0.0 -0.332 0.0
0.6002624126748197 0.8444756526748196 0.6576053510113479 | 0.0 -0.332 0.0
0.6562122385469246 0.844400940336744 0.29378776145307567 | 0.0 -0.332 0.0
0.6576053510113479 0.8444756526748196 0.34973758732518023 | 0.0 -0.332 0.0
0.6577965993135033 0.8445512306816927 0.40000121238700515 | 0.0 -0.332 0.0
0.6577973859932918 0.8445544501119226 0.4500003253117167 | 0.0 -0.332 0.0
0.6577973859932918 0.8445544501119226 0.49999967468828344 | 0.0 -0.332 0.0
0.6577965993135033 0.8445512306816927 0.5499987876129949 | 0.0 -0.332 0.0
0.6576053510113479 0.8444756526748196 0.6002624126748197 | 0.0 -0.332 0.0
0.6562122385469246 0.844400940336744 0.6562122385469246 | 0.0 -0.332 0.0
0.29364812728271483 0.7942150591569004 0.29364812728271483 | 0.0 -0.332 0.0
0.29220340068649675 0.7942120276129948 0.34966200931830727 | 0.0 -0.332 0.0
0.29198058560562656 0.794213898163773 0.3999993418362269 | 0.0 -0.332 0.0
0.2919783043614465 0.7942163626936409 0.45000051523997237 | 0.0 -0.332 0.0
0.2919783043614465 0.7942163626936409 0.4999994847600276 | 0.0 -0.332 0.0
0.29198058560562656 0.794213898163773 0.550000658163773 | 0.0 -0.332 0.0
0.29220340068649675 0.7942120276129949 0.6003379906816928 | 0.0 -0.332 0.0
0.29364812728271483 0.7942150591569004 0.6563518727172852 | 0.0 -0.332 0.0
0.34966200931830727 0.7942120276129948 0.29220340068649675 | 0.0 -0.332 0.0
